Id,SalePrice
1461,124495.2
1462,169081.14
1463,189584.8
1464,192068.48
1465,186588.81
1466,178423.57
1467,178081.89
1468,172999.4
1469,180483.8
1470,121852.08
1471,200358.73
1472,93542.38
1473,99400.27
1474,150011.57
1475,113237.39
1476,350128.02
1477,250375.19
1478,283556.23
1479,267218.29
1480,493665.6
1481,328733.1
1482,203807.01
1483,178494.71
1484,163899.0
1485,175316.92
1486,193851.02
1487,314635.61
1488,231659.34
1489,199599.04
1490,227769.2
1491,187799.29
1492,85370.15
1493,183457.03
1494,280102.75
1495,289780.71
1496,233430.86
1497,186789.11
1498,157689.04
1499,155099.96
1500,162007.46
1501,175390.41
1502,133876.45
1503,297344.92
1504,229130.34
1505,223408.27
1506,183460.52
1507,272234.94
1508,198288.48
1509,159507.25
1510,151792.03
1511,147511.81
1512,169878.79
1513,137352.85
1514,156270.48
1515,220794.36
1516,145581.14
1517,157884.93
1518,124707.05
1519,227996.36
1520,137547.18
1521,140158.13
1522,160782.25
1523,121797.43
1524,119923.16
1525,123060.98
1526,122264.16
1527,107675.96
1528,132121.21
1529,149063.5
1530,161280.53
1531,112490.52
1532,103115.07
1533,148427.78
1534,122095.15
1535,163882.51
1536,113783.15
1537,76881.69
1538,134373.13
1539,174789.3
1540,111630.68
1541,145549.72
1542,146140.55
1543,200853.02
1544,77365.45
1545,106415.88
1546,126612.46
1547,131125.76
1548,131411.39
1549,117462.47
1550,140308.46
1551,116163.54
1552,139284.95
1553,141650.94
1554,103888.51
1555,179966.69
1556,82767.18
1557,126067.09
1558,84599.4
1559,119743.46
1560,146607.24
1561,162264.14
1562,127085.78
1563,124859.57
1564,164297.37
1565,156379.72
1566,219263.01
1567,76936.1
1568,220450.48
1569,161160.04
1570,132206.37
1571,113679.9
1572,142873.84
1573,254145.18
1574,111528.64
1575,222248.17
1576,241497.23
1577,196354.3
1578,138483.68
1579,148506.53
1580,187355.42
1581,139220.8
1582,126651.87
1583,330767.26
1584,229090.06
1585,141959.66
1586,71656.12
1587,97208.22
1588,149120.94
1589,107491.7
1590,132455.69
1591,95599.47
1592,128080.19
1593,121879.3
1594,135300.01
1595,141011.47
1596,241237.97
1597,182740.41
1598,190934.32
1599,149819.13
1600,165796.79
1601,74103.14
1602,112795.3
1603,84796.23
1604,277260.18
1605,236364.36
1606,170336.76
1607,170638.99
1608,213728.16
1609,182527.84
1610,164535.22
1611,145448.81
1612,181236.1
1613,176428.71
1614,120740.49
1615,90237.94
1616,77764.88
1617,90309.55
1618,128220.65
1619,137454.24
1620,189663.9
1621,152477.93
1622,144695.64
1623,282494.93
1624,225518.03
1625,123802.7
1626,161518.95
1627,184936.84
1628,265145.75
1629,176635.2
1630,362413.13
1631,199570.63
1632,233469.7
1633,168535.53
1634,197915.32
1635,177894.88
1636,163742.2
1637,192018.01
1638,191421.19
1639,179130.44
1640,262945.38
1641,174315.66
1642,224041.59
1643,215277.89
1644,225174.68
1645,194880.54
1646,156387.27
1647,151775.48
1648,139017.44
1649,140886.26
1650,116058.51
1651,120460.23
1652,93151.76
1653,95935.54
1654,149282.32
1655,136795.66
1656,144857.54
1657,149377.61
1658,145053.12
1659,124324.0
1660,151433.09
1661,468975.11
1662,362307.31
1663,381422.08
1664,459418.65
1665,302186.31
1666,335527.64
1667,387372.91
1668,327249.78
1669,280645.77
1670,343935.27
1671,274221.35
1672,453068.62
1673,294838.89
1674,245863.12
1675,206323.77
1676,199809.23
1677,226248.81
1678,458309.13
1679,417364.86
1680,331757.03
1681,222209.94
1682,305894.42
1683,182154.34
1684,172535.83
1685,175000.89
1686,171096.95
1687,164565.56
1688,187003.16
1689,184681.44
1690,186804.89
1691,175825.97
1692,236925.17
1693,169448.06
1694,182616.91
1695,163270.69
1696,279700.68
1697,168120.41
1698,399743.18
1699,319393.46
1700,243706.58
1701,259948.78
1702,254802.07
1703,256896.66
1704,290771.92
1705,216314.07
1706,435797.34
1707,218906.04
1708,214516.24
1709,262928.95
1710,221239.15
1711,245133.32
1712,265110.95
1713,281687.76
1714,220126.61
1715,199115.89
1716,185554.4
1717,157182.27
1718,138343.32
1719,205509.08
1720,241261.58
1721,154594.11
1722,124734.89
1723,161471.58
1724,218054.65
1725,237402.18
1726,199385.45
1727,173846.76
1728,175565.84
1729,167697.85
1730,149960.7
1731,121185.43
1732,134230.94
1733,119699.81
1734,119939.37
1735,132102.92
1736,116049.82
1737,322953.57
1738,222651.41
1739,319899.73
1740,247993.83
1741,192358.33
1742,173592.03
1743,173175.56
1744,287046.28
1745,230340.49
1746,185240.53
1747,208556.31
1748,236163.52
1749,163548.75
1750,134056.94
1751,233324.86
1752,121753.64
1753,146711.73
1754,174571.62
1755,172794.98
1756,120176.5
1757,119193.76
1758,147656.64
1759,157253.92
1760,166007.8
1761,145662.87
1762,168625.41
1763,164723.1
1764,115495.86
1765,184540.32
1766,164958.57
1767,225023.79
1768,146465.08
1769,168231.23
1770,140377.5
1771,129313.84
1772,141407.82
1773,132362.4
1774,146840.7
1775,132762.94
1776,122487.9
1777,114642.23
1778,137339.74
1779,111360.82
1780,166622.77
1781,124572.67
1782,97777.16
1783,135839.2
1784,104768.41
1785,112305.1
1786,134306.17
1787,156006.78
1788,60908.27
1789,83923.56
1790,87484.88
1791,183972.14
1792,152868.5
1793,137006.36
1794,143211.2
1795,137243.82
1796,110923.06
1797,112742.6
1798,123610.92
1799,104070.23
1800,132315.34
1801,136212.68
1802,119040.91
1803,149391.13
1804,148348.77
1805,138083.16
1806,112773.27
1807,122855.9
1808,112177.51
1809,113380.86
1810,147321.27
1811,107948.95
1812,105385.89
1813,121529.77
1814,94150.01
1815,61721.55
1816,92609.65
1817,124167.05
1818,137584.94
1819,124598.42
1820,77596.48
1821,94337.05
1822,145816.26
1823,57952.07
1824,128029.93
1825,128188.78
1826,104952.79
1827,105818.37
1828,136223.31
1829,118307.31
1830,132595.52
1831,141087.82
1832,108272.25
1833,145324.44
1834,123865.63
1835,135897.79
1836,129990.86
1837,91725.62
1838,131843.31
1839,86336.99
1840,165522.3
1841,140164.44
1842,86000.81
1843,132385.39
1844,133399.32
1845,138321.46
1846,152366.52
1847,168106.08
1848,64002.76
1849,105885.92
1850,117227.3
1851,151499.78
1852,122474.59
1853,136686.5
1854,156996.43
1855,143585.21
1856,217889.7
1857,146953.44
1858,146038.55
1859,116972.38
1860,153458.79
1861,116622.62
1862,262481.9
1863,257733.25
1864,257733.25
1865,320603.67
1866,328215.77
1867,238941.6
1868,304094.35
1869,208277.63
1870,218928.32
1871,246999.56
1872,171250.38
1873,228200.23
1874,140352.27
1875,198961.63
1876,195851.6
1877,209225.05
1878,209483.19
1879,134983.55
1880,136850.7
1881,243611.72
1882,245071.89
1883,196096.84
1884,207313.39
1885,231657.75
1886,304891.17
1887,206032.19
1888,266516.87
1889,163588.18
1890,128786.98
1891,140608.15
1892,106575.99
1893,125378.91
1894,121519.79
1895,139454.36
1896,125253.95
1897,117336.01
1898,104291.81
1899,141855.77
1900,119738.42
1901,164577.03
1902,150303.86
1903,174916.1
1904,137553.38
1905,182193.9
1906,185638.94
1907,206131.94
1908,112034.86
1909,139303.28
1910,124676.53
1911,208959.95
1912,290771.11
1913,156555.95
1914,64541.34
1915,315892.24
1916,69818.51
1917,242256.38
1918,138921.24
1919,165364.51
1920,171429.67
1921,449252.71
1922,309984.87
1923,208862.77
1924,226387.1
1925,206250.51
1926,388709.79
